Lista de Entradas Deletados Por Alex:

Boxes_id	Batches_id	Caixas	Data	Por		Lote

2000049953	2000000557		64	07-25	Alex	2DD404	
2000049784	2000000519		16	07-25	Alex	2DD404
2000049768	2000000518	   216 	07-25	Alex	2DD404	
2000047803	2000000403	   357	07-21	Alex	D18512CS5
2000041521	2000000464		 6	06-19	Alex	7392613
2000041515	2000000463		 6	06-09	Alex	7392613 	
2000039099	2000000422		 6	05-21	Alex	2104
2000038990	2000000419		51	05-20	Alex	2064


batch_id 	counter
2000000403 	357
2000000419 	51
2000000422 	6
2000000463 	6
2000000464 	6
2000000501 	1
2000000518 	216
2000000519 	16
2000000557 	64
